compound: 0.4588, neg: 0.0, neu: 0.882, pos: 0.118, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.2764, neg: 0.093, neu: 0.769, pos: 0.138, 
compound: -0.3682, neg: 0.361, neu: 0.451, pos: 0.188, 
compound: 0.0382, neg: 0.0, neu: 0.924, pos: 0.076, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.1531, neg: 0.0, neu: 0.89, pos: 0.11, 
compound: -0.0762, neg: 0.126, neu: 0.874, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0516, neg: 0.0, neu: 0.87, pos: 0.13, 
compound: -0.4767, neg: 0.227, neu: 0.773, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4215, neg: 0.0, neu: 0.741, pos: 0.259, 
compound: -0.4019, neg: 0.124, neu: 0.876, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.3818, neg: 0.265, neu: 0.735, pos: 0.0, 
compound: 0.1613, neg: 0.085, neu: 0.802, pos: 0.113, 
compound: -0.2023, neg: 0.205, neu: 0.795, pos: 0.0, 
compound: 0.2263, neg: 0.074, neu: 0.817, pos: 0.109, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2263, neg: 0.241, neu: 0.759, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.805, pos: 0.195, 
compound: -0.2263, neg: 0.182, neu: 0.692, pos: 0.126, 
compound: -0.1511, neg: 0.185, neu: 0.815, pos: 0.0, 
compound: -0.033, neg: 0.174, neu: 0.661, pos: 0.165, 
compound: 0.1477, neg: 0.0, neu: 0.864, pos: 0.136, 
compound: 0.4939, neg: 0.0, neu: 0.738, pos: 0.262, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.34, neg: 0.158, neu: 0.789, pos: 0.053, 
compound: -0.3182, neg: 0.063, neu: 0.937, pos: 0.0, 
compound: 0.6369, neg: 0.0, neu: 0.792, pos: 0.208, 
compound: -0.4404, neg: 0.262, neu: 0.738, pos: 0.0, 
compound: 0.1761, neg: 0.087, neu: 0.776, pos: 0.137, 
compound: 0.5719, neg: 0.114, neu: 0.651, pos: 0.235, 
compound: 0.1119, neg: 0.078, neu: 0.829, pos: 0.093, 
